keV	keVe	f	fe	mod
11.3240004	0.505000114	604.650269	43.2059746	550.000488
12.3415003	0.512499809	580.976685	41.6259117	622.928955
13.3769999	0.522999763	626.077026	41.6866302	702.991943
14.4379997	0.538000107	752.21875	44.7069511	787.24646
15.5299997	0.553999901	833.43457	47.2498665	876.221619
16.651001	0.567000389	960.379883	50.7400627	969.752258
17.8945007	0.676499367	1053.5282	49.9931984	1077.73474
19.2599983	0.68900013	1110.68127	52.7424126	1196.54077
20.6479988	0.699000359	1240.04431	57.0193748	1320.63086
22.0555	0.708499908	1352.76782	61.7699585	1451.42542
23.4829998	0.718999863	1605.79175	69.5874557	1584.9552
24.9329987	0.730999947	1687.85864	73.9605484	1719.02209
26.5149994	0.850999832	1892.41589	75.933815	1873.99353
42.4700012	0.948999405	3334.448	154.088913	3467.39966
44.3894997	0.970500946	3894.2207	169.160629	3637.08911
46.3499985	0.989999771	3885.85864	174.047607	3866.22974
48.3495026	1.0095005	4061.552	181.941513	4042.59155
50.4889984	1.12999916	3784.65503	171.813446	4236.93359
52.7679977	1.14900017	4315.95898	188.457809	4496.85498
55.0830002	1.16600037	4488.35303	195.770309	4684.91309
57.4305	1.18149948	4883.88525	208.011536	4895.88818
59.9165001	1.30450058	5163.28857	210.327499	5185.34131
62.5384979	1.31749916	5187.13721	214.930191	5350.2627
65.1849976	1.32900047	5000.36328	217.303238	5615.94385
67.9640045	1.45000076	5704.49121	229.729263	5929.85449
70.8704987	1.45650101	5570.6875	230.392395	6047.72119
73.788002	1.46099854	5906.93896	245.367752	6393.33252
76.822998	1.57400131	6382.86328	252.839081	6633.18604
79.9685059	1.57149887	7107.31348	274.344147	6835.6665
83.1060028	1.56599808	7026.43848	285.490784	7236.23242
86.3434982	1.67150116	6494.11133	270.552612	7279.41699
89.6804962	1.66550064	7312.72998	299.458374	7693.95557
93.0070038	1.6609993	7906.14404	318.705688	7851.03516
96.4349976	1.76700211	8210.25586	325.218781	8152.97168
99.9654999	1.7634964	7871.09961	328.916534	8415.31934
103.489998	1.76100159	8405.67578	349.089172	8613.10352
107.120499	1.86949921	8959.35352	362.584412	8950.77148
110.859497	1.86949921	9000.40918	372.946533	9081.76758
114.709	1.98000336	9455.15527	386.920288	9492.10645
118.671501	1.98249817	9184.64258	389.576965	9559.79004
122.750504	2.0965004	10100.3643	413.452515	10037.3115
126.948502	2.10150146	10184.0205	421.862885	10048.3418
131.266998	2.21699524	10927.8135	444.764252	10584.626
135.705994	2.22200012	10954.9541	453.347076	10549.2285
140.155487	2.22750092	12502.2979	506.613708	11112.7256
144.72699	2.34400177	10866.5811	470.234894	11076.0957
149.420502	2.34950256	12283.8525	522.565247	11617.7021
154.237503	2.46749878	11537.9697	506.15094	11623.2842
159.291504	2.58650208	11410.9707	515.911438	12130.7773
164.470505	2.59249878	11680.2422	537.000427	12182.0723
169.774994	2.71199799	11192.1768	539.284729	12647.8516
175.206497	2.71949768	12689.6631	593.307251	12768.4033
180.765503	2.83950043	13179.0732	619.276611	13147.9316
186.452499	2.84750366	12290.7383	623.583191	13387.2402
192.269012	2.96900177	13596.877	668.282959	13627.9141
198.329498	3.09149933	14565.5225	710.336792	14031.251
204.520996	3.09999847	12477.4756	683.548523	14116.665
210.844498	3.22349548	14827.2559	773.351562	14709.8359
217.416	3.3480072	14313.5879	772.759888	14593.7979
224.121002	3.35699463	14903.7256	842.006592	15422.21
230.960999	3.48300171	14229.5322	831.422607	15056.1982
238.053009	3.60900116	17058.9512	958.686462	15995.0029
245.398499	3.73649597	14525.6484	898.304871	15691.6143
252.882507	3.74750519	16677.3887	1024.92664	16491.918
260.505493	3.87550354	15328.3545	1003.5965	16441.293
268.385986	4.00498962	16310.3447	1077.25476	16963.3613
276.525513	4.13450623	15652.2246	1092.49072	17233.2754
284.807007	4.14700317	17330.3965	1200.84216	17435.8828
293.231995	4.27799988	16627.1191	1225.94702	18081.5273
301.919983	4.4099884	18421.6055	1311.29016	17876.1562
310.872498	4.54251099	17502.5273	1348.81531	18951.9941
320.091492	4.67649841	17686.543	1366.14465	18335.4668
329.578491	4.8105011	17497.7012	1441.13281	19425.6152
339.334503	4.94549561	17316.498	1466.40735	19239.8359
349.361511	5.08149719	19951.9902	1647.87219	19897.6719
359.661011	5.21800232	18245.1562	1634.78638	20184.8945
370.234985	5.35600281	19219.6484	1734.72327	20362.8613
381.084503	5.49349976	19180.418	1816.53479	21177.3828
392.21051	5.63249207	17359.8379	1761.22693	20815.8965
403.61499	5.77200317	21223.8125	2061.20801	22044.082
415.298492	5.91149902	20809.5723	2069.3479	21438.5977
427.386475	6.17649841	18219.832	2022.10681	22506.6387
439.880981	6.31800842	24319.418	2384.26855	22513.4961
452.658997	6.45999146	23604.3535	2428.32422	22980.8828
465.721985	6.60301208	21925.5859	2435.96411	23635.7012
479.071503	6.74649048	21935.7695	2488.98096	23421.3008
