keV	keVe	f	fe	mod
11.3240004	0.505000114	206.422348	31.7902107	222.054733
12.3415003	0.512499809	263.011414	33.3772697	253.979248
13.3769999	0.522999763	277.861755	32.8476372	288.506836
14.4379997	0.538000107	263.126068	32.1215096	324.5961
15.5299997	0.553999901	334.925201	35.0198631	362.227631
16.651001	0.567000389	371.231354	36.6549454	401.054077
17.8945007	0.676499367	445.180878	37.1095047	444.82901
19.2599983	0.68900013	530.849243	40.7651939	491.274353
20.6479988	0.699000359	534.961304	41.9780617	537.749878
22.0555	0.708499908	482.708862	42.5408325	584.79071
23.4829998	0.718999863	679.107849	50.3281288	630.109741
24.9329987	0.730999947	650.576416	51.2100334	672.024658
26.5149994	0.850999832	597.979004	48.5664177	719.167603
42.4700012	0.948999405	1187.95886	99.1981049	1045.26172
44.3894997	0.970500946	1055.63538	95.4118576	1059.91699
46.3499985	0.989999771	1080.42773	99.5437393	1103.0282
48.3495026	1.0095005	1041.24402	100.238457	1114.99329
50.4889984	1.12999916	1076.80713	99.2532425	1131.61365
52.7679977	1.14900017	1278.203	110.578545	1173.05298
55.0830002	1.16600037	1234.22522	110.474998	1178.19458
57.4305	1.18149948	1307.20483	115.407722	1194.56738
59.9165001	1.30450058	993.891418	101.674713	1238.41577
62.5384979	1.31749916	1062.89404	106.616013	1226.25732
65.1849976	1.32900047	1265.37085	119.006241	1256.3219
67.9640045	1.45000076	1506.52344	128.669998	1298.20044
70.8704987	1.45650101	1311.32568	121.599121	1266.85059
73.788002	1.46099854	1307.56616	125.852577	1317.93823
76.822998	1.57400131	1254.31201	122.030251	1327.92896
79.9685059	1.57149887	1350.21008	129.166412	1326.92712
83.1060028	1.56599808	1339.05225	135.998001	1386.62012
86.3434982	1.67150116	1293.21008	130.437973	1337.89697
89.6804962	1.66550064	1234.50537	134.94722	1398.57812
93.0070038	1.6609993	1369.21301	143.904373	1384.93518
96.4349976	1.76700211	1581.05835	154.089096	1412.73682
99.9654999	1.7634964	1291.24878	145.396011	1426.47791
103.489998	1.76100159	1460.24121	157.613403	1427.18677
107.120499	1.86949921	1607.45251	166.212463	1459.69885
110.859497	1.86949921	1691.83887	174.198608	1443.79138
114.709	1.98000336	1690.69434	177.14032	1491.01257
118.671501	1.98249817	1590.91223	175.819794	1461.08911
122.750504	2.0965004	1381.64197	168.668396	1520.3562
126.948502	2.10150146	1415.48047	171.715286	1479.28687
131.266998	2.21699524	1419.07886	176.203247	1547.68396
135.705994	2.22200012	1450.24512	179.826248	1498.71631
140.155487	2.22750092	1665.55261	201.921158	1570.17432
144.72699	2.34400177	1364.26929	183.494858	1523.93689
149.420502	2.34950256	1890.80688	223.512238	1587.74023
154.237503	2.46749878	1093.90723	174.859314	1551.21582
159.291504	2.58650208	1472.00378	205.208862	1604.92896
164.470505	2.59249878	1251.04736	196.526657	1577.14294
169.774994	2.71199799	1690.33459	230.421112	1621.18005
175.206497	2.71949768	1194.12488	207.431305	1606.33521
180.765503	2.83950043	1691.46814	248.506119	1633.88562
186.452499	2.84750366	1719.06531	264.606354	1639.20337
192.269012	2.96900177	1555.00171	259.541962	1642.8855
198.329498	3.09149933	1812.07629	283.068695	1673.49451
204.520996	3.09999847	1331.33899	256.634888	1651.76477
210.844498	3.22349548	1957.30896	314.080933	1710.48926
217.416	3.3480072	1442.03967	279.493042	1658.08508
224.121002	3.35699463	2255.39478	363.829865	1749.22693
234.570007	7.09200287	1437.63184	222.105133	1712.72778
245.398499	3.73649597	1832.83813	360.359924	1688.31348
256.757996	7.62300873	1869.30188	279.062897	1748.86499
