keV	keVe	f	fe	mod
12.3594999	1.54049969	76.8897705	15.0902729	105.598289
14.9919996	1.09200001	135.48349	19.6823959	130.269958
17.3274994	1.24349976	155.691254	20.0597248	150.52623
19.9589996	1.38800049	132.539032	19.8061981	171.698944
22.0555	0.708499908	183.976456	32.1083984	188.585266
23.4829998	0.718999863	207.699921	34.6855316	199.193207
24.9329987	0.730999947	179.027252	34.303833	208.82019
26.5149994	0.850999832	197.659882	34.408947	220.553574
42.4700012	0.948999405	321.724304	59.537674	316.101379
44.3894997	0.970500946	360.079468	61.7577286	322.908905
46.3499985	0.989999771	375.287323	64.512558	337.756866
49.4794998	2.13949966	286.295135	42.522377	348.698822
52.7679977	1.14900017	331.203705	64.5624695	368.416656
56.2644997	2.34749985	257.787933	43.0706711	378.872894
59.9165001	1.30450058	456.681366	72.933403	400.752594
62.5384979	1.31749916	400.489075	71.6355743	402.951721
65.1849976	1.32900047	374.151215	73.1354828	416.76416
69.4205017	2.90650177	400.590942	53.5540314	433.077972
73.788002	1.46099854	419.821045	78.3291092	452.200928
76.822998	1.57400131	418.492371	76.5659714	461.476471
79.9685059	1.57149887	504.728149	83.521286	467.585052
83.1060028	1.56599808	441.560547	84.0508194	491.517487
86.3434982	1.67150116	394.435364	78.6131516	483.663177
89.6804962	1.66550064	475.403503	88.5642319	508.315735
93.0070038	1.6609993	547.564453	94.9955368	510.828552
96.4349976	1.76700211	500.16684	92.1769714	525.804688
99.9654999	1.7634964	549.066467	98.1588364	536.907043
105.359497	3.63050079	464.35791	67.3893967	552.114868
112.8395	3.84950256	566.487244	75.2589645	573.358948
118.671501	1.98249817	580.015503	110.801147	581.664246
124.852005	4.19800186	547.682373	78.3318176	605.154602
131.266998	2.21699524	717.631348	125.646477	632.079956
135.705994	2.22200012	644.305603	121.887276	622.702576
140.155487	2.22750092	858.192261	143.84938	654.538879
147.076508	4.69350433	733.13324	97.5605927	660.196777
154.237503	2.46749878	800.612366	145.35376	670.018616
161.884003	5.17900085	589.719482	95.7511673	695.917847
169.774994	2.71199799	849.279114	162.236069	718.765503
178.04599	5.55899811	774.864136	118.309555	730.214539
189.421509	5.81650543	823.330017	133.177475	754.252319
201.429504	6.1914978	859.364319	140.842133	779.225769
217.5495	9.92849731	542.59314	106.396431	817.282043
238.306488	10.8284988	739.570007	132.937531	844.201538
264.897491	15.7625046	690.960327	130.696854	899.480713
293.494995	12.8349915	1059.66858	202.828491	944.105591
325.304993	18.9750061	957.977051	189.00946	998.103821
388.921509	44.6414948	875.854614	167.038925	1089.08435
504.453003	70.8900146	977.254578	230.843246	1238.05371
667.282471	91.9394836	1421.72412	368.801758	1423.65308
826.018982	66.7969971	2354.87891	738.892944	1596.71399
11.059	0.986000061	83.1780319	11.3700981	89.8429947
12.5874996	0.542500019	103.036713	16.4498043	103.831573
13.6785002	0.548500061	109.295563	16.6118259	113.669502
14.7835007	0.556499958	148.257935	18.4727325	122.933121
15.9045	0.564499855	143.325104	18.9064198	131.83432
17.0424995	0.57349968	133.697128	19.1938324	141.313965
18.198	0.582000732	178.84227	21.6497021	150.716553
19.4705009	0.690499306	150.167191	19.7974834	160.172745
20.8649998	0.704000473	192.096054	22.0834866	170.889343
22.2884998	0.719499588	148.878967	21.4007645	181.473923
23.7469997	0.73900032	199.59375	24.2354126	192.015259
25.2480011	0.762000084	194.077301	24.9432335	202.607193
26.7975006	0.787499428	199.685501	26.1195564	212.582184
42.399498	0.866498947	348.545074	48.4614449	300.516083
44.2434998	0.977500916	316.681396	45.3503647	308.033997
46.213501	0.992500305	373.288055	50.234024	322.115631
48.2130013	1.00699997	330.174225	48.7636299	326.660919
50.2399979	1.01999855	333.19577	51.023407	336.220581
52.3964996	1.13650131	440.467316	56.0873375	351.469971
54.6825027	1.14949989	289.944916	48.666584	351.955536
56.9944992	1.16250038	328.820129	52.4455986	366.444183
59.3300018	1.17299843	403.970917	58.3235741	378.733978
61.7944984	1.29150009	348.069824	53.4515114	380.840485
64.387001	1.3010025	465.680237	63.2543182	398.697693
66.9974976	1.30949783	432.863007	63.7862549	402.616516
69.7335052	1.42650223	333.127228	57.3533363	413.519165
72.5924988	1.43249893	468.399078	67.0676575	431.135406
75.4615021	1.43650055	522.883423	69.6868973	427.205322
78.4465027	1.54850006	426.112823	64.7636871	449.073517
81.5435028	1.54850006	495.851959	70.6475754	451.834412
84.638504	1.54649734	436.679413	69.6741714	464.969666
87.8410034	1.65600204	497.781433	73.232811	477.458466
91.1515045	1.65449905	491.67215	75.038147	480.405365
94.4595032	1.6534996	473.877045	77.4898453	502.561829
97.8769989	1.76399994	494.495483	76.7259521	496.730804
101.404495	1.76350021	553.723633	85.1075134	526.012451
104.931999	1.76399994	663.416626	92.5102768	513.165771
108.571503	1.87549973	578.118103	89.8167419	544.886902
112.323997	1.8769989	660.338989	95.8216248	534.580566
116.190994	1.99000168	606.162842	94.4493179	564.375854
120.173996	1.99300003	616.924927	96.3384476	556.131348
124.274506	2.10750198	554.926208	94.6964035	584.557556
128.4935	2.11149597	637.405334	101.701805	577.668579
132.832001	2.227005	702.758789	109.04908	605.588501
137.290009	2.23099518	626.114807	106.080887	599.013916
144.109009	4.58800507	564.362976	75.6769333	623.565186
151.054001	2.35699463	699.052429	123.810295	653.193542
155.884995	2.47399902	842.35675	132.163589	636.720337
160.951508	2.59250641	785.030762	134.54068	677.04895
166.14151	2.59749603	791.875427	136.927444	656.522461
171.455505	2.71649933	692.355652	137.843445	699.18689
179.737	5.56500244	753.662598	106.728203	699.008545
188.150497	2.84849548	864.961304	170.810379	706.787231
197.05899	6.06000519	891.524231	129.234268	736.430664
209.436493	6.31749725	749.507629	129.394302	760.848328
222.44751	6.69350433	847.973633	145.316345	785.564758
236.2155	7.07449341	998.288635	168.308502	811.023987
