keV	keVe	f	fe	mod
11.3240004	0.505000114	159.462463	23.972414	156.750656
12.3415003	0.512499809	205.962204	24.3849812	176.750229
13.3769999	0.522999763	176.091568	22.5075035	197.406982
14.4379997	0.538000107	185.487823	22.4683208	217.483627
15.5299997	0.553999901	237.47345	23.9411411	236.725784
16.651001	0.567000389	241.910645	24.2361507	254.767151
17.8945007	0.676499367	261.201477	23.657835	273.67746
19.2599983	0.68900013	241.943085	23.902565	290.642639
20.6479988	0.699000359	300.87912	25.7360439	305.728271
22.0555	0.708499908	352.634735	28.3653316	320.052979
23.4829998	0.718999863	376.30661	30.2587814	331.830353
24.9329987	0.730999947	346.775787	30.2257786	340.286804
26.5149994	0.850999832	345.090057	29.5876827	351.305939
42.4700012	0.948999405	381.226562	46.5687065	398.326721
44.3894997	0.970500946	432.930481	48.5274315	395.677277
46.3499985	0.989999771	452.042328	50.9723701	406.693268
48.3495026	1.0095005	426.173065	51.1875	403.343597
50.4889984	1.12999916	356.738647	47.2324104	402.683411
52.7679977	1.14900017	598.224792	58.6441002	412.48645
55.0830002	1.16600037	328.529205	48.3620644	406.955475
57.4305	1.18149948	346.315521	49.9682198	406.945465
59.9165001	1.30450058	435.016418	53.5581856	417.717499
62.5384979	1.31749916	474.993561	56.4734497	406.019897
65.1849976	1.32900047	486.385803	59.636879	411.611298
67.9640045	1.45000076	428.960754	58.5803032	421.221802
70.8704987	1.45650101	450.615784	58.7983475	403.11853
73.788002	1.46099854	384.900787	57.5904961	416.427185
76.822998	1.57400131	317.041016	52.9984283	414.056396
79.9685059	1.57149887	409.013977	58.4770851	407.970306
83.1060028	1.56599808	392.199432	61.6182289	423.736145
86.3434982	1.67150116	374.806885	58.4928017	400.778015
89.6804962	1.66550064	452.263245	66.4814453	416.702148
93.0070038	1.6609993	424.80246	66.075798	406.437805
96.4349976	1.76700211	416.433594	66.2010574	410.771332
99.9654999	1.7634964	381.187317	66.2246246	409.915222
103.489998	1.76100159	426.836517	70.688591	404.994812
107.120499	1.86949921	450.69931	73.1854019	410.476868
110.859497	1.86949921	395.21759	71.8115768	399.936188
114.709	1.98000336	479.994965	78.2753983	410.008514
118.671501	1.98249817	383.308685	74.3657837	394.884583
124.852005	4.19800186	318.76767	51.1745758	399.494263
131.266998	2.21699524	401.761536	79.9676132	405.976532
135.705994	2.22200012	403.100769	80.2212753	385.012085
140.155487	2.22750092	465.550873	89.9258499	401.728607
144.72699	2.34400177	531.967651	93.2632446	381.967651
151.888	4.81700134	427.360229	64.9897385	387.601074
161.884003	5.17900085	396.057709	66.649086	382.755005
