keV	keVe	f	fe	mod
64.387001	1.3010025	1346.29272	101.080849	1357.87439
66.9974976	1.30949783	1361.76794	104.289131	1359.3783
69.7335052	1.42650223	1401.29419	104.499702	1386.92212
72.5924988	1.43249893	1414.58289	109.155251	1438.66541
75.4615021	1.43650055	1779.65771	121.866615	1409.44336
78.4465027	1.54850006	1614.89575	117.823761	1476.24084
81.5435028	1.54850006	1752.79358	125.738861	1470.97717
84.638504	1.54649734	1900.18542	135.695175	1504.54968
87.8410034	1.65600204	1732.41382	130.03392	1534.66711
91.1515045	1.65449905	1780.7074	134.955612	1529.96594
94.4595032	1.6534996	1716.24878	138.961716	1594.52234
97.8769989	1.76399994	1484.14807	127.207268	1558.12195
101.404495	1.76350021	1841.85205	148.920212	1646.75452
104.931999	1.76399994	1873.07617	151.216263	1585.74426
108.571503	1.87549973	1941.04065	157.960358	1681.92651
112.323997	1.8769989	1928.49243	158.848862	1629.99963
116.190994	1.99000168	1702.79431	153.510239	1717.75049
120.173996	1.99300003	1907.53125	163.671249	1673.0824
124.274506	2.10750198	1824.65491	164.544891	1754.52515
128.4935	2.11149597	1842.12817	167.979858	1714.5697
132.832001	2.227005	1488.88782	157.099396	1792.78613
137.290009	2.23099518	2048.72705	184.984314	1753.96802
141.756989	2.23600006	2172.41211	200.732269	1837.8811
146.345001	2.352005	1927.99817	188.287567	1785.32568
151.054001	2.35699463	1784.43774	193.615158	1884.64612
155.884995	2.47399902	1639.74707	184.365814	1814.08203
160.951508	2.59250641	2037.33643	213.344055	1928.31836
166.14151	2.59749603	1704.57532	199.740753	1844.84644
171.455505	2.71649933	2157.08032	235.258194	1964.73474
176.894501	2.72250366	2000.15369	232.648148	1885.54504
182.459503	2.84249878	2388.80762	266.191101	1991.40405
188.150497	2.84849548	1549.09668	228.434082	1936.83667
193.967987	2.96900177	2090.58252	271.784973	2013.61414
200.028	3.09100342	2216.29907	283.646698	1992.72327
206.216492	3.09749603	1833.8446	275.670135	2035.67139
212.533997	3.22000122	1879.07922	285.504028	2049.75098
219.097	3.34300232	2163.64966	312.239197	2054.52539
225.790497	3.35050201	1686.49072	299.780792	2109.46411
232.615997	3.47499847	2585.02051	366.819611	2069.76831
239.690491	3.59949493	1915.42981	342.519165	2171.35278
247.014999	3.7250061	2901.5354	414.326569	2084.90063
258.334015	7.59400177	1929.41431	268.777588	2167.07788
269.915527	3.98750305	2229.37329	429.157715	2222.63403
282.143494	8.24049377	1936.64038	305.272003	2208.14185
294.638489	4.25450134	3121.2085	567.710938	2257.85596
307.790009	8.89700317	1988.67102	352.778503	2281.021
326.106995	9.41999817	2562.55835	416.533051	2298.34619
350.650024	15.1230011	2046.94836	343.573914	2325.02271
382.102509	16.3294983	2526.12378	424.869385	2373.95923
428.73999	30.3079987	1704.63745	336.519379	2431.25586
486.23053	27.1825104	3192.2605	584.890686	2467.44702
595.071045	81.6579895	2212.5481	427.895172	2489.32715
781.514038	104.785004	3635.37427	712.567505	2418.08179
335.612	16.7850037	2466.29663	215.860107	2421.58716
369.105499	16.7084961	2374.99561	255.491486	2471.33911
402.4505	16.6365051	3015.98413	299.767822	2500.49707
435.658997	16.571991	2368.28906	301.589142	2550.44458
468.7435	16.5125122	2617.46167	338.47934	2577.29102
501.715515	16.4594879	2138.83496	357.311401	2573.10815
534.587036	16.4120178	2722.69409	432.515869	2594.53223
567.369995	16.3710022	2611.09644	450.254456	2603.50659
605.515503	21.7744751	2427.67603	400.52533	2613.69922
649.015991	21.7260132	2308.72412	425.276489	2604.3208
