keV	keVe	f	fe	mod
11.8365002	1.01749992	85.3128433	11.1650162	78.6903839
13.3769999	0.522999763	81.0148392	14.4080334	87.8580856
14.4379997	0.538000107	87.4522934	14.1399279	93.5454941
15.5299997	0.553999901	112.450554	14.7864408	98.7778168
16.651001	0.567000389	120.504883	14.9004431	103.505814
17.8945007	0.676499367	100.243828	14.1707354	108.564873
19.2599983	0.68900013	110.774399	14.6698685	112.601677
20.6479988	0.699000359	102.367828	14.5735407	116.123444
22.0555	0.708499908	102.106995	15.4724569	119.581604
23.4829998	0.718999863	116.618324	16.6442127	122.128136
24.9329987	0.730999947	127.803673	17.1191788	123.460274
26.5149994	0.850999832	118.347794	16.6098671	125.85141
42.4700012	0.948999405	155.575775	24.6987	128.727341
44.3894997	0.970500946	127.718513	23.7060852	126.400208
47.3595009	1.99950027	90.9752045	16.6114426	127.751656
51.6380005	2.27899933	133.164719	17.7529602	125.898796
55.0830002	1.16600037	175.409912	27.0227108	123.746361
58.7350006	2.48600006	122.725204	18.4157944	123.755394
63.8675003	2.64649963	141.315781	19.6346149	120.203781
67.9640045	1.45000076	157.265076	31.3200607	122.553551
72.3314972	2.91749954	126.051765	20.5118561	117.267418
78.3945007	3.14550018	98.4722214	19.5689373	115.901779
84.7774963	3.23749924	120.922501	21.2710838	114.574974
91.3414993	3.32649994	153.120377	23.1793709	112.934372
98.1985016	3.5304985	115.490509	22.9370956	111.231911
107.228996	5.5	113.134163	19.5903397	108.431961
118.787994	6.05900192	105.109688	21.0043621	106.919983
131.387497	6.54049683	116.472382	22.072258	102.965683
155.207489	17.2795029	88.4710541	16.2041111	100.216484
203.4655	30.9785004	101.951279	20.428093	93.8744049
274.929504	40.4855042	76.806366	30.8922691	87.8033752
368.3125	52.8974915	84.3232651	47.2282295	81.1940079
490.284973	69.0749969	129.22673	89.5536423	76.1828461
648.969482	89.6094971	-58.9993782	134.046753	71.3281937
815.69751	77.1184998	-87.2532501	241.952499	67.0410995
10.5205002	0.447500229	74.1183319	8.20485973	72.077774
11.5065002	0.538499832	75.7031326	7.49338245	77.7441483
12.5874996	0.542500019	76.5237961	7.59610128	84.6737823
13.6785002	0.548500061	94.0738831	7.89783859	91.1555939
14.7835007	0.556499958	100.713287	8.22828865	96.6837311
15.9045	0.564499855	98.9564667	8.50758266	101.437599
17.0424995	0.57349968	114.880325	9.02876472	106.354301
18.198	0.582000732	107.782578	9.34428883	110.782364
19.4705009	0.690499306	120.498055	9.2232275	114.41143
20.8649998	0.704000473	119.2967	9.53656769	118.347862
22.2884998	0.719499588	111.763237	9.92302895	121.663422
23.7469997	0.73900032	133.929276	10.6458702	124.461479
25.2480011	0.762000084	130.158325	11.030056	126.837448
26.7975006	0.787499428	123.264717	11.1820822	128.191223
42.399498	0.866498947	103.688866	15.8906612	130.10611
44.2434998	0.977500916	138.505783	16.5475445	128.726013
46.213501	0.992500305	140.707687	17.4340134	131.208572
48.2130013	1.00699997	89.5207214	15.7040434	127.487503
50.2399979	1.01999855	131.550613	18.1942024	127.219421
52.3964996	1.13650131	167.670273	19.2876587	129.804092
54.6825027	1.14949989	132.365417	18.3637409	123.660538
56.9944992	1.16250038	115.262825	18.7168331	125.69738
59.3300018	1.17299843	111.491165	18.9203014	126.234932
61.7944984	1.29150009	117.56852	18.4954891	121.522858
64.387001	1.3010025	158.778488	21.665554	124.585724
66.9974976	1.30949783	129.177261	22.108181	120.767883
69.7335052	1.42650223	132.046112	21.6286163	120.427437
72.5924988	1.43249893	158.312653	23.3736191	122.697678
77.0100021	2.98500061	106.583076	14.5105438	117.825851
81.5435028	1.54850006	114.62114	21.4583492	115.803047
84.638504	1.54649734	168.25499	24.7123604	116.276169
89.4954987	3.3105011	76.1836166	15.1331005	114.478645
94.4595032	1.6534996	149.972717	25.9996262	116.081596
99.6405029	3.52750015	125.484268	17.8340645	112.389671
106.807495	3.63949966	94.3432236	18.1029968	109.967842
114.313995	3.86700058	139.06987	20.4058151	108.360306
122.281502	4.10050201	125.260818	20.9453297	106.768806
132.951508	6.56949615	111.527397	17.7395439	104.107224
141.756989	2.23600006	203.913727	38.5464745	106.040459
159.082489	15.0895004	78.9282837	14.9040918	100.770622
198.306	24.1340027	97.073288	19.294651	95.3531342
260.666504	38.2265015	60.7538757	26.081995	89.9428558
348.662506	49.7695007	36.2444229	41.7898827	83.6331863
463.129517	64.6975098	24.5593395	78.7144012	78.3949051
611.643005	83.815979	263.981567	139.752563	73.3208313
790.879028	95.4200134	31.0569363	210.161575	68.4499054
494.784485	175.957504	70.7040787	35.0223694	67.2426376
893.998047	223.256012	-65.2668152	77.2450256	57.3609352
1421.6311	304.377014	155.515869	157.29541	51.2176247
2057.5	331.491943	347.721191	254.631058	46.6675339
2827.302	438.310059	288.804169	264.148407	43.2532158
3864.75	599.138062	-149.850571	245.957031	40.1284027
5242.94043	779.05249	-35.3734398	216.488571	37.1465302
7073.03223	1051.03931	301.209778	275.599457	34.7466125
8946.60938	822.537842	365.515625	404.635651	32.5199585
17	1	89.9420242	13.1336861	81.8626633
19	1	93.5188065	10.2120609	87.2714233
21	1	95.2398911	7.91239786	91.5870438
23	1	99.1315308	6.38577032	94.8240356
25	1	102.581665	5.09022236	97.2237091
27	1	103.086403	5.2981286	98.855423
29.0499992	1.05000019	100.39402	5.26804209	100.087975
31.0999985	0.999999046	101.062149	5.49976492	100.853485
33.1500015	1.05000114	102.824059	5.66776371	101.25219
35.25	1.04999924	103.11618	5.87936592	101.379242
37.2999992	1	99.7174988	5.92738962	101.185547
39.3499985	1.05000114	102.785164	6.09068441	101.074318
41.4500008	1.04999924	101.197891	6.19624519	100.908669
43.5499992	1.04999924	95.89505	6.1291666	100.141602
45.6999969	1.10000038	100.320633	6.33719921	99.9623795
47.8499985	1.05000114	95.0048599	6.42819738	99.2602158
50	1.09999847	95.0418091	6.43814325	98.615921
52.1500015	1.05000114	104.370903	7.17506838	98.1234589
54.3000031	1.10000038	107.884087	7.30360699	97.5278854
56.5	1.09999847	99.0224686	7.41241074	96.9061584
58.6999969	1.10000038	103.634735	7.65763569	96.287323
60.9000015	1.10000038	95.4170914	7.62070513	95.7093582
63.0999985	1.09999847	83.4897766	7.76348639	95.2032547
65.3000031	1.10000229	99.7488785	8.28536892	94.300209
67.5500031	1.14999771	102.589767	8.68911648	93.7341309
69.8000031	1.10000229	90.4788437	8.86998844	93.3886871
72.0500031	1.14999771	102.35704	9.65622616	92.5592041
74.3000031	1.10000229	99.6127319	10.1738968	92.0295715
76.5500031	1.14999771	100.695198	10.3573332	91.563652
78.8499985	1.15000153	90.479599	10.3855228	90.849144
81.1500015	1.15000153	82.8735428	11.2896347	90.4240494
83.4499969	1.14999771	62.2535667	11.5768337	89.9075012
85.8000031	1.20000076	88.3613052	12.6891956	89.1749802
88.1500015	1.15000153	83.7396927	12.877284	89.0448532
90.5	1.19999695	90.8933487	12.5168266	88.0797272
92.8499985	1.15000153	76.6732025	13.1431503	87.7219009
95.1999969	1.20000076	94.4824905	13.8525715	87.4694366
97.6000061	1.20000076	74.3525314	13.8911781	86.8784714
100	1.19999695	80.6829758	15.2844582	86.1478958
