t,L_sum,L_0,L_1,L_2,L_3,L_4,L_5,L_6,L_7,L_8,L_9
316.22776601683796,1.2141771661446351e+39,1.2141771661446351e+39,1.2141771661446351e+39,1.2141771661446351e+39,1.2141771661446351e+39,1.2141771661446351e+39,1.2141771661446351e+39,1.2141771661446351e+39,1.2141771661446351e+39,1.2141771661446351e+39,1.2141771661446351e+39
359.38136638046257,1.3684757398497854e+39,1.3684757398497854e+39,1.3684757398497854e+39,1.3684757398497854e+39,1.3684757398497854e+39,1.3684757398497854e+39,1.3684757398497854e+39,1.3684757398497854e+39,1.3684757398497854e+39,1.3684757398497854e+39,1.3684757398497854e+39
408.42386526745173,1.54073688485127e+39,1.54073688485127e+39,1.54073688485127e+39,1.54073688485127e+39,1.54073688485127e+39,1.54073688485127e+39,1.54073688485127e+39,1.54073688485127e+39,1.54073688485127e+39,1.54073688485127e+39,1.54073688485127e+39
464.15888336127773,1.7326132370783803e+39,1.7326132370783803e+39,1.7326132370783803e+39,1.7326132370783803e+39,1.7326132370783803e+39,1.7326132370783803e+39,1.7326132370783803e+39,1.7326132370783803e+39,1.7326132370783803e+39,1.7326132370783803e+39,1.7326132370783803e+39
527.499706370262,1.9457957174936205e+39,1.9457957174936205e+39,1.9457957174936205e+39,1.9457957174936205e+39,1.9457957174936205e+39,1.9457957174936205e+39,1.9457957174936205e+39,1.9457957174936205e+39,1.9457957174936205e+39,1.9457957174936205e+39,1.9457957174936205e+39
599.4842503189409,2.1819832888562282e+39,2.1819832888562282e+39,2.1819832888562282e+39,2.1819832888562282e+39,2.1819832888562282e+39,2.1819832888562282e+39,2.1819832888562282e+39,2.1819832888562282e+39,2.1819832888562282e+39,2.1819832888562282e+39,2.1819832888562282e+39
681.2920690579608,2.4428455091828655e+39,2.4428455091828655e+39,2.4428455091828655e+39,2.4428455091828655e+39,2.4428455091828655e+39,2.4428455091828655e+39,2.4428455091828655e+39,2.4428455091828655e+39,2.4428455091828655e+39,2.4428455091828655e+39,2.4428455091828655e+39
774.263682681127,2.729978217009326e+39,2.729978217009326e+39,2.729978217009326e+39,2.729978217009326e+39,2.729978217009326e+39,2.729978217009326e+39,2.729978217009326e+39,2.729978217009326e+39,2.729978217009326e+39,2.729978217009326e+39,2.729978217009326e+39
879.9225435691075,3.044853417234984e+39,3.044853417234984e+39,3.044853417234984e+39,3.044853417234984e+39,3.044853417234984e+39,3.044853417234984e+39,3.044853417234984e+39,3.044853417234984e+39,3.044853417234984e+39,3.044853417234984e+39,3.044853417234984e+39
1000.0,3.388765259821042e+39,3.388765259821042e+39,3.388765259821042e+39,3.388765259821042e+39,3.388765259821042e+39,3.388765259821042e+39,3.388765259821042e+39,3.388765259821042e+39,3.388765259821042e+39,3.388765259821042e+39,3.388765259821042e+39
1136.4636663857243,3.7627747533493766e+39,3.7627747533493766e+39,3.7627747533493766e+39,3.7627747533493766e+39,3.7627747533493766e+39,3.7627747533493766e+39,3.7627747533493766e+39,3.7627747533493766e+39,3.7627747533493766e+39,3.7627747533493766e+39,3.7627747533493766e+39
