tt,Lt
0.1,1.428194196222924e-09
0.14251026703029981,1.428107905995995e-09
0.20309176209047358,1.427984950091189e-09
0.2894266124716751,1.427809758861724e-09
0.41246263829013524,1.427560161504179e-09
0.5878016072274913,1.4272045979438464e-09
0.837677640068292,1.4266981640422825e-09
1.1937766417144369,1.4259770131948997e-09
1.7012542798525891,1.424950454056762e-09
2.424462017082328,1.4234898425140237e-09
3.45510729459222,1.4214130608787687e-09
4.923882631706742,1.418463020038967e-09
7.01703828670383,1.41427826314285e-09
10.0,1.4083535331084624e-09
14.251026703029993,1.3999884081263176e-09
20.30917620904737,1.3882234500372296e-09
28.942661247167518,1.3717669205440462e-09
41.24626382901352,1.348922884306725e-09
58.780160722749116,1.317545874524684e-09
83.76776400682924,1.27506989407965e-09
119.3776641714437,1.2186871691060482e-09
170.1254279852589,1.1457687507073071e-09
242.44620170823308,1.0545877011374675e-09
345.5107294592222,9.452764639991703e-10
492.3882631706742,8.207139436203237e-10
701.7038286703829,6.868214329420806e-10
1000.0,5.518178880924537e-10
1425.1026703029993,4.244876223808817e-10
2030.917620904739,3.1216136198895237e-10
2894.2661247167516,2.1930720421838137e-10
4124.626382901356,1.4719043915025062e-10
5878.0160722749115,9.443388826212354e-11
8376.776400682924,5.800247124938298e-11
11937.766417144381,3.419711698061711e-11
17012.54279852589,1.942896700790735e-11
24244.62017082331,1.0689266922724617e-11
34551.072945922184,5.72550341718125e-12
49238.82631706742,3.0015460801315785e-12
70170.38286703837,1.5474702831013698e-12
100000.0,7.877837672481708e-13
